pokemon_form_tree_id,pokemon_form_id,transition_grid_position,transition_grid_text_markup,transition_grid_text_html,text_top_markup,text_top_html,text_bottom_markup,text_bottom_html,grid_column,grid_row
71,679,,,,>50% {HP;STAT;HP},"&gt;50% <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>",,,3,1
71,680,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",<50% {HP;STAT;HP},"&lt;50% <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>",,,4,1
72,695,,,,,,,,1,1
77,1311,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>Use</span>
  <span>{Fusion Bolt;MOVE;fusion-bolt}</span>
  <span>or</span>
  <span>{Bolt Strike;MOVE;bolt-strike}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>Use</span>
  <span><a href=""/moves/fusion-bolt"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fusion Bolt</span></a></span>
  <span>or</span>
  <span><a href=""/moves/bolt-strike"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Bolt Strike</span></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,2,1
78,782,,,,Outside of battle,Outside of battle,,,1,1
72,1308,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Dynamax Band;ITEM;dynamax-band}</span>
  <span>{-;MISC;PLUS}</span>
  <span>{Gigantamax Factor;MISC;GIGANTAMAXFACTOR}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/dynamax-band"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dynamax Band</span><img src=""https://cdn.pokedb.org/a68508ad627362373ffd1ee0b3f07dc45b5e367c90559ff295217a6864275871w20h20"" width=""20"" height=""20"" alt=""Item Icon for Dynamax Band"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/plus.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Gigantamax Factor</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/gigantamax_factor.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",Lasts three turns,Lasts three turns,,,2,1
73,713,,,,"South Province / January, May, September","South Province / January, May, September",,,1,1
73,714,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>","East Province / February, June, October","East Province / February, June, October",,,2,1
73,715,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>","West Province / March, July, November","West Province / March, July, November",,,3,1
73,716,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>","North Province / April, August, December","North Province / April, August, December",,,4,1
74,717,,,,"South Province / January, May, September","South Province / January, May, September",,,1,1
74,718,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>","East Province / February, June, October","East Province / February, June, October",,,2,1
74,719,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>","West Province / March, July, November","West Province / March, July, November",,,3,1
74,720,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>","North Province / April, August, December","North Province / April, August, December",,,4,1
75,777,,,,,,,,1,1
75,778,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Reveal Glass;ITEM;reveal-glass}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/reveal-glass"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Reveal Glass</span><img src=""https://cdn.pokedb.org/c8cb69cdf4ea100939a385b55b70c61002173014e63a590705a67cd01398aa6ew20h20"" width=""20"" height=""20"" alt=""Item Icon for Reveal Glass"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,2,1
76,779,,,,,,,,1,1
76,780,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Reveal Glass;ITEM;reveal-glass}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/reveal-glass"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Reveal Glass</span><img src=""https://cdn.pokedb.org/c8cb69cdf4ea100939a385b55b70c61002173014e63a590705a67cd01398aa6ew20h20"" width=""20"" height=""20"" alt=""Item Icon for Reveal Glass"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,2,1
77,781,,,,Outside of battle,Outside of battle,,,1,1
83,793,bottom,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Shock Drive;ITEM;shock-drive}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/shock-drive"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Shock Drive</span><img src=""https://cdn.pokedb.org/1ad54c4ccf0dfd53417f2c706b6e789009fce2a79869186aabf74b6dc5d023c2w20h20"" width=""20"" height=""20"" alt=""Item Icon for Shock Drive"" style=""width: 20px; height: 20px""></a></span>
</div>",,,,,2,1
78,1312,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>Use</span>
  <span>{Fusion Flare;MOVE;fusion-flare}</span>
  <span>or</span>
  <span>{Blue Flare;MOVE;blue-flare}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>Use</span>
  <span><a href=""/moves/fusion-flare"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fusion Flare</span></a></span>
  <span>or</span>
  <span><a href=""/moves/blue-flare"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Blue Flare</span></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,2,1
79,783,,,,,,,,1,1
79,784,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Reveal Glass;ITEM;reveal-glass}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/reveal-glass"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Reveal Glass</span><img src=""https://cdn.pokedb.org/c8cb69cdf4ea100939a385b55b70c61002173014e63a590705a67cd01398aa6ew20h20"" width=""20"" height=""20"" alt=""Item Icon for Reveal Glass"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,2,1
80,1313,right,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",In Battle,In Battle,,,1,1
80,786,right,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{DNA Splicers;ITEM;dna-splicers}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/dna-splicers"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>DNA Splicers</span><img src=""https://cdn.pokedb.org/2009c3860a2f42f4f2d39d51922dafa505232fa5c5ceb64f8a4b833c1daba8caw20h20"" width=""20"" height=""20"" alt=""Item Icon for DNA Splicers"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",with {Reshiram;POKEMON;reshiram},"with <a href=""/pokemon/reshiram"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Reshiram</span><img src=""https://cdn.pokedb.org/ef11732bcfa89519ab3c6eb42f476b13fd7ce62d933c2122e9748f9f4df093f9w40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Reshiram"" style=""width: 20px; height: 20px""></a>",,,2,1
80,785,,,,,,,,3,1
80,787,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{DNA Splicers;ITEM;dna-splicers}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/dna-splicers"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>DNA Splicers</span><img src=""https://cdn.pokedb.org/2009c3860a2f42f4f2d39d51922dafa505232fa5c5ceb64f8a4b833c1daba8caw20h20"" width=""20"" height=""20"" alt=""Item Icon for DNA Splicers"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",with {Zekrom;POKEMON;zekrom},"with <a href=""/pokemon/zekrom"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Zekrom</span><img src=""https://cdn.pokedb.org/ffe559fa74b14cf4622bcd52ffaffbb4e31d9d0f8da5de438a7058b7cee81a6aw40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Zekrom"" style=""width: 20px; height: 20px""></a>",,,4,1
80,1314,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",In Battle,In Battle,,,5,1
81,788,,,,While not knowing {Secret Sword;MOVE;secret-sword},"While not knowing <a href=""/moves/secret-sword"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Secret Sword</span></a>",,,1,1
81,789,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Secret Sword;MOVE;secret-sword}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/moves/secret-sword"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Secret Sword</span></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While knowing {Secret Sword;MOVE;secret-sword},"While knowing <a href=""/moves/secret-sword"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Secret Sword</span></a>",,,2,1
82,790,,,,Outside of battle or after using {Relic Song;MOVE;relic-song},"Outside of battle or after using <a href=""/moves/relic-song"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Relic Song</span></a>",,,1,1
82,791,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Relic Song;MOVE;relic-song}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/moves/relic-song"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Relic Song</span></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",After using {Relic Song;MOVE;relic-song},"After using <a href=""/moves/relic-song"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Relic Song</span></a>",,,2,1
83,792,bottom,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>No Drive</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>No Drive</span>
</div>",,,,,1,1
83,794,bottom,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Burn Drive;ITEM;burn-drive}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/burn-drive"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Burn Drive</span><img src=""https://cdn.pokedb.org/cdfb2a8aca5bc5584a739ae57978839609b1df1798202b420ffc8d3f3ee0ed08w20h20"" width=""20"" height=""20"" alt=""Item Icon for Burn Drive"" style=""width: 20px; height: 20px""></a></span>
</div>",,,,,3,1
83,795,bottom,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Chill Drive;ITEM;chill-drive}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/chill-drive"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Chill Drive</span><img src=""https://cdn.pokedb.org/bada305bab3e0118505a90c8fe77f58a3f847547f00d51e2f209136d1b102073w20h20"" width=""20"" height=""20"" alt=""Item Icon for Chill Drive"" style=""width: 20px; height: 20px""></a></span>
</div>",,,,,4,1
83,796,bottom,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Douse Drive;ITEM;douse-drive}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/douse-drive"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Douse Drive</span><img src=""https://cdn.pokedb.org/94618a7c7cac6b11052afc07a5adc97eda8276d20b221c4d586a47f400c80db1w20h20"" width=""20"" height=""20"" alt=""Item Icon for Douse Drive"" style=""width: 20px; height: 20px""></a></span>
</div>",,,,,5,1
84,805,,,,,,,,1,1
84,806,,,,Default Form,Default Form,,,2,1
84,807,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",After knocking out one opponent,After knocking out one opponent,,,3,1
85,815,,,,,,,,1,1
85,816,,,,,,,,2,1
85,817,,,,,,,,3,1
85,818,,,,,,,,4,1
85,819,,,,,,,,5,1
85,820,,,,,,,,1,2
85,821,,,,,,,,2,2
85,822,,,,,,,,3,2
85,823,,,,,,,,4,2
85,824,,,,,,,,5,2
85,825,,,,,,,,1,3
85,827,,,,,,,,2,3
85,828,,,,,,,,3,3
85,829,,,,,,,,4,3
85,830,,,,,,,,5,3
85,831,,,,,,,,1,4
85,832,,,,,,,,2,4
85,833,,,,,,,,3,4
85,834,,,,,,,,4,4
85,1315,,,,,,,,5,4
86,837,,,,,,,,1,1
86,838,,,,,,,,2,1
86,839,,,,,,,,3,1
86,840,,,,,,,,4,1
86,841,,,,,,,,5,1
87,842,,,,,,,,1,1
87,844,,,,,,,,2,1
87,845,,,,,,,,3,1
87,846,,,,,,,,1,2
87,847,,,,,,,,2,2
87,848,,,,Unobtainable,Unobtainable,,,3,2
88,849,,,,Evolved from {Flabébé;POKEMON;flabebe} - Red Flower,"Evolved from <a href=""/pokemon/flabebe"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Flabébé</span><img src=""https://cdn.pokedb.org/a812e233ef5c1f24d228989c67af999c0f4d7017067b8c18dd6e1276c1c6ad69w40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Flabébé"" style=""width: 20px; height: 20px""></a> - Red Flower",,,1,1
88,850,,,,Evolved from {Flabébé;POKEMON;flabebe} - Yellow Flower,"Evolved from <a href=""/pokemon/flabebe"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Flabébé</span><img src=""https://cdn.pokedb.org/a812e233ef5c1f24d228989c67af999c0f4d7017067b8c18dd6e1276c1c6ad69w40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Flabébé"" style=""width: 20px; height: 20px""></a> - Yellow Flower",,,2,1
88,851,,,,Evolved from {Flabébé;POKEMON;flabebe} - Orange Flower,"Evolved from <a href=""/pokemon/flabebe"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Flabébé</span><img src=""https://cdn.pokedb.org/a812e233ef5c1f24d228989c67af999c0f4d7017067b8c18dd6e1276c1c6ad69w40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Flabébé"" style=""width: 20px; height: 20px""></a> - Orange Flower",,,3,1
88,852,,,,Evolved from {Flabébé;POKEMON;flabebe} - Blue Flower,"Evolved from <a href=""/pokemon/flabebe"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Flabébé</span><img src=""https://cdn.pokedb.org/a812e233ef5c1f24d228989c67af999c0f4d7017067b8c18dd6e1276c1c6ad69w40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Flabébé"" style=""width: 20px; height: 20px""></a> - Blue Flower",,,4,1
88,1386,,,,Evolved from {Flabébé;POKEMON;flabebe} - White Flower,"Evolved from <a href=""/pokemon/flabebe"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Flabébé</span><img src=""https://cdn.pokedb.org/a812e233ef5c1f24d228989c67af999c0f4d7017067b8c18dd6e1276c1c6ad69w40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Flabébé"" style=""width: 20px; height: 20px""></a> - White Flower",,,5,1
89,857,,,,,,,,1,1
89,858,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,2,1
89,859,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,3,1
89,860,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,4,1
89,861,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,5,1
89,862,,,,,,,,1,2
89,863,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,2,2
89,864,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,3,2
89,865,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,4,2
89,866,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,5,2
90,872,,,,After using {King's Shield;MOVE;kings-shield},"After using <a href=""/moves/kings-shield"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>King's Shield</span></a>",,,1,1
90,873,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",After using a damaging move,After using a damaging move,,,2,1
91,904,,,,,,,,1,1
91,905,,,,,,,,2,1
91,906,,,,,,,,3,1
91,907,,,,,,,,4,1
92,908,,,,Evolved from {Pumpkaboo;POKEMON;pumpkaboo} - Small Size,"Evolved from <a href=""/pokemon/pumpkaboo"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Pumpkaboo</span><img src=""https://cdn.pokedb.org/ad60ac1aad33739be84a1f5e112268189b57c917b594d1f6f28e56b517cab3dbw40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Pumpkaboo"" style=""width: 20px; height: 20px""></a> - Small Size",,,1,1
92,909,,,,Evolved from {Pumpkaboo;POKEMON;pumpkaboo} - Average Size,"Evolved from <a href=""/pokemon/pumpkaboo"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Pumpkaboo</span><img src=""https://cdn.pokedb.org/ad60ac1aad33739be84a1f5e112268189b57c917b594d1f6f28e56b517cab3dbw40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Pumpkaboo"" style=""width: 20px; height: 20px""></a> - Average Size",,,2,1
